,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,0.0,0.9888533333333336,0.5913666666666667,0.9095566666666665,0.007104777539718534,0.007059194162382997,0.005734919354271686
1,0.05,0.9885991666666668,0.6058966666666667,0.9123326666666669,0.007606274319782169,0.0077774524535137194,0.006349801361722534
2,0.1,0.9886166666666667,0.6195066666666665,0.9149713333333329,0.007720728772452625,0.006798525984031807,0.0065293968072607355
3,0.15,0.9885825000000001,0.6372466666666667,0.9179493333333335,0.007725065129175283,0.008808975221014327,0.00637522719420867
4,0.2,0.9886766666666666,0.6587633333333335,0.9227273333333333,0.007502562340071993,0.008993212872926874,0.0062638670696836115
5,0.25,0.9885925,0.6895600000000002,0.9288140000000001,0.00764503419983631,0.009801176800092262,0.0063147203333868114
6,0.3,0.9885683333333334,0.7380100000000002,0.9386033333333331,0.007755839019015859,0.014206430859923186,0.006490489623715274
7,0.35,0.9885791666666667,0.8147666666666666,0.9536646666666668,0.007750162408692548,0.018036845006202663,0.007643961770937608
8,0.4,0.9660158333333335,0.9490999999999998,0.9624639999999997,0.028462286072489365,0.021734969263582784,0.02348441453863014
9,0.45,0.7340125,0.9212733333333332,0.7716233333333332,0.03386237387696458,0.04277528829696989,0.030749340191656496
